Average,,7.113mV,0.883uA(F),0.921uA,1.002uA(F),2.652V,2.780V,2.652V,116.7V,116.8V,-0.07,-4.69Over(F),-0.00mA,5.654mR,Over,0.784V,Over,0.863V,Over,5.718nA,8.206nA(F),9.955nA,0.188nA,2.644V,-3.91nA,4.911nA,
STDEV,,7.7641,7.5549,0.2643,4.3391,0.0808,0.0843,0.0808,3.4019,3.4080,0.1363,4.6481,0.0002,0.3120,0.0000,0.0422,0.0000,0.0464,0.0000,2.4127,9.0020,0.6647,0.1676,0.1794,0.3247,0.3891,
Min Data,,003.5mV,-402.1uA,-000.2uA,------,------,------,------,113.7V,112.3V,-000.5,-290.2nA,-0.001mA,------,------,------,------,0.859V,------,004.0nA,005.8nA,9.999nA,-000.2nA,2.592V,-005.9nA,004.8nA,
Max Data,,175.3mV,237.4uA,002.1uA,269.4uA,2.735V,2.864V,2.735V,120.1V,120.2V,003.0,,0.000mA,5.932mR,------,0.797V,------,0.878V,------,021.2nA,426.2nA,9.999nA,000.9nA,2.734V,-003.7nA,005.9nA,

Serial#,Bin# 
49,1,4.000E-003,6.000E-007,9.000E-007,1.000E-006,2.673E+000,2.801E+000,2.674E+000,1.173E+002,1.173E+002,0.000E+000,4.700E-009,0.000E+000,5.581E-003,0.000E+000,7.870E-001,0.000E+000,8.650E-001,0.000E+000,4.700E-009,8.300E-009,9.999E-009,1.000E-010,2.674E+000,3.800E-009,4.600E-009,
50,1,3.700E-003,9.000E-007,6.000E-007,1.000E-006,2.634E+000,2.760E+000,2.633E+000,1.175E+002,1.176E+002,1.000E-001,4.600E-009,0.000E+000,5.700E-003,0.000E+000,7.840E-001,0.000E+000,8.640E-001,0.000E+000,1.100E-008,7.600E-009,9.999E-009,2.000E-010,2.634E+000,3.900E-009,5.300E-009,
51,1,4.000E-003,7.000E-007,1.000E-006,1.200E-006,2.661E+000,2.788E+000,2.661E+000,1.173E+002,1.173E+002,0.000E+000,4.700E-009,0.000E+000,5.644E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,6.600E-009,8.200E-009,9.999E-009,2.000E-010,2.661E+000,3.800E-009,4.600E-009,
52,1,3.600E-003,1.200E-006,8.000E-007,9.000E-007,2.688E+000,2.817E+000,2.687E+000,1.163E+002,1.163E+002,0.000E+000,4.700E-009,0.000E+000,5.653E-003,0.000E+000,7.850E-001,0.000E+000,8.630E-001,0.000E+000,4.900E-009,6.900E-009,9.999E-009,3.000E-010,2.689E+000,4.000E-009,5.400E-009,
53,1,8.300E-003,8.000E-007,6.000E-007,9.000E-007,2.681E+000,2.809E+000,2.681E+000,1.166E+002,1.166E+002,0.000E+000,4.600E-009,0.000E+000,5.545E-003,0.000E+000,7.850E-001,0.000E+000,8.600E-001,0.000E+000,4.900E-009,7.900E-009,9.999E-009,1.000E-010,2.681E+000,3.900E-009,4.500E-009,
54,1,4.000E-003,9.000E-007,1.300E-006,1.000E-006,2.696E+000,2.826E+000,2.697E+000,1.160E+002,1.161E+002,1.000E-001,4.700E-009,0.000E+000,5.612E-003,0.000E+000,7.840E-001,0.000E+000,8.640E-001,0.000E+000,4.900E-009,6.800E-009,9.999E-009,1.000E-010,2.698E+000,3.900E-009,5.200E-009,
55,1,3.900E-003,9.000E-007,8.000E-007,9.000E-007,2.692E+000,2.820E+000,2.692E+000,1.160E+002,1.162E+002,2.000E-001,4.900E-009,0.000E+000,5.614E-003,0.000E+000,7.850E-001,0.000E+000,8.630E-001,0.000E+000,4.700E-009,8.800E-009,9.999E-009,2.000E-010,2.693E+000,3.900E-009,4.700E-009,
56,1,4.200E-003,9.000E-007,7.000E-007,9.000E-007,2.691E+000,2.819E+000,2.692E+000,1.160E+002,1.161E+002,1.000E-001,4.500E-009,0.000E+000,5.642E-003,0.000E+000,7.890E-001,0.000E+000,8.660E-001,0.000E+000,5.100E-009,7.000E-009,9.999E-009,1.000E-010,2.693E+000,4.000E-009,5.200E-009,
57,1,6.400E-003,7.000E-007,1.100E-006,9.000E-007,2.695E+000,2.823E+000,2.696E+000,1.160E+002,1.161E+002,1.000E-001,4.800E-009,0.000E+000,5.628E-003,0.000E+000,7.860E-001,0.000E+000,8.620E-001,0.000E+000,5.400E-009,9.000E-009,9.999E-009,0.000E+000,2.697E+000,4.300E-009,5.000E-009,
58,1,4.100E-003,1.200E-006,8.000E-007,8.000E-007,2.665E+000,2.792E+000,2.665E+000,1.163E+002,1.163E+002,0.000E+000,4.600E-009,0.000E+000,5.616E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,7.000E-009,7.600E-009,9.999E-009,2.000E-010,2.665E+000,3.800E-009,4.700E-009,
59,1,4.400E-003,1.100E-006,9.000E-007,9.000E-007,2.681E+000,2.809E+000,2.681E+000,1.162E+002,1.163E+002,1.000E-001,4.900E-009,1.000E-006,5.638E-003,0.000E+000,7.860E-001,0.000E+000,8.630E-001,0.000E+000,6.200E-009,8.300E-009,9.999E-009,0.000E+000,2.682E+000,4.100E-009,5.000E-009,
60,1,4.200E-003,8.000E-007,9.000E-007,1.000E-006,2.594E+000,2.720E+000,2.594E+000,1.175E+002,1.177E+002,2.000E-001,4.500E-009,0.000E+000,5.696E-003,0.000E+000,7.860E-001,0.000E+000,8.650E-001,0.000E+000,1.290E-008,8.500E-009,9.999E-009,3.000E-010,2.595E+000,3.700E-009,4.700E-009,
61,1,4.400E-003,9.000E-007,8.000E-007,9.000E-007,2.642E+000,2.770E+000,2.642E+000,1.165E+002,1.166E+002,1.000E-001,4.800E-009,0.000E+000,5.654E-003,0.000E+000,7.850E-001,0.000E+000,8.630E-001,0.000E+000,1.080E-008,8.400E-009,9.999E-009,0.000E+000,2.643E+000,4.300E-009,5.100E-009,
62,1,5.200E-003,8.000E-007,1.400E-006,1.000E-006,2.659E+000,2.787E+000,2.659E+000,1.165E+002,1.166E+002,1.000E-001,4.400E-009,0.000E+000,5.632E-003,0.000E+000,7.850E-001,0.000E+000,8.640E-001,0.000E+000,6.700E-009,6.400E-009,9.999E-009,4.000E-010,2.661E+000,3.700E-009,4.700E-009,
63,1,7.100E-003,9.000E-007,1.000E-006,1.200E-006,2.650E+000,2.778E+000,2.651E+000,1.166E+002,1.166E+002,0.000E+000,4.900E-009,0.000E+000,5.640E-003,0.000E+000,7.860E-001,0.000E+000,8.630E-001,0.000E+000,8.600E-009,8.600E-009,9.999E-009,1.000E-010,2.651E+000,4.000E-009,5.100E-009,
