Average,,7.113mV,0.883uA(F),0.921uA,1.002uA(F),2.652V,2.780V,2.652V,116.7V,116.8V,-0.07,-4.69Over(F),-0.00mA,5.654mR,Over,0.784V,Over,0.863V,Over,5.718nA,8.206nA(F),9.955nA,0.188nA,2.644V,-3.91nA,4.911nA,
STDEV,,7.7641,7.5549,0.2643,4.3391,0.0808,0.0843,0.0808,3.4019,3.4080,0.1363,4.6481,0.0002,0.3120,0.0000,0.0422,0.0000,0.0464,0.0000,2.4127,9.0020,0.6647,0.1676,0.1794,0.3247,0.3891,
Min Data,,003.5mV,-402.1uA,-000.2uA,------,------,------,------,113.7V,112.3V,-000.5,-290.2nA,-0.001mA,------,------,------,------,0.859V,------,004.0nA,005.8nA,9.999nA,-000.2nA,2.592V,-005.9nA,004.8nA,
Max Data,,175.3mV,237.4uA,002.1uA,269.4uA,2.735V,2.864V,2.735V,120.1V,120.2V,003.0,,0.000mA,5.932mR,------,0.797V,------,0.878V,------,021.2nA,426.2nA,9.999nA,000.9nA,2.734V,-003.7nA,005.9nA,

Serial#,Bin# 
2335,1,8.600E-003,1.100E-006,9.000E-007,1.000E-006,2.694E+000,2.823E+000,2.694E+000,1.165E+002,1.164E+002,1.000E-001,4.800E-009,0.000E+000,5.645E-003,0.000E+000,7.840E-001,0.000E+000,8.630E-001,0.000E+000,4.400E-009,7.300E-009,9.999E-009,3.000E-010,2.696E+000,3.700E-009,4.700E-009,
2336,1,5.000E-003,1.200E-006,6.000E-007,9.000E-007,2.673E+000,2.801E+000,2.673E+000,1.157E+002,1.157E+002,0.000E+000,5.000E-009,0.000E+000,5.610E-003,0.000E+000,7.860E-001,0.000E+000,8.650E-001,0.000E+000,6.000E-009,9.800E-009,9.999E-009,0.000E+000,2.675E+000,4.000E-009,4.800E-009,
2337,1,9.200E-003,1.000E-006,1.000E-006,7.000E-007,2.681E+000,2.810E+000,2.682E+000,1.159E+002,1.160E+002,1.000E-001,4.500E-009,0.000E+000,5.638E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,4.400E-009,7.100E-009,9.999E-009,3.000E-010,2.682E+000,3.700E-009,4.700E-009,
2338,1,1.150E-002,7.000E-007,1.400E-006,1.000E-006,2.632E+000,2.760E+000,2.633E+000,1.158E+002,1.159E+002,1.000E-001,4.900E-009,0.000E+000,5.521E-003,0.000E+000,7.850E-001,0.000E+000,8.640E-001,0.000E+000,1.260E-008,7.500E-009,9.999E-009,3.000E-010,2.633E+000,4.000E-009,5.100E-009,
2339,1,7.500E-003,7.000E-007,1.300E-006,9.000E-007,2.652E+000,2.780E+000,2.652E+000,1.157E+002,1.158E+002,1.000E-001,4.600E-009,0.000E+000,5.576E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,8.000E-009,8.900E-009,9.999E-009,1.000E-010,2.654E+000,3.900E-009,4.500E-009,
2340,1,8.800E-003,1.100E-006,1.100E-006,8.000E-007,2.572E+000,2.699E+000,2.573E+000,1.176E+002,1.176E+002,0.000E+000,4.800E-009,0.000E+000,5.684E-003,0.000E+000,7.850E-001,0.000E+000,8.650E-001,0.000E+000,7.400E-009,6.800E-009,9.999E-009,3.000E-010,2.573E+000,3.900E-009,5.000E-009,
2341,1,1.620E-002,1.200E-006,9.000E-007,9.000E-007,2.573E+000,2.700E+000,2.573E+000,1.177E+002,1.176E+002,1.000E-001,4.900E-009,0.000E+000,5.717E-003,0.000E+000,7.850E-001,0.000E+000,8.640E-001,0.000E+000,6.900E-009,1.000E-008,9.999E-009,1.000E-010,2.575E+000,4.200E-009,4.900E-009,
2342,1,7.800E-003,1.000E-006,9.000E-007,8.000E-007,2.569E+000,2.695E+000,2.569E+000,1.178E+002,1.180E+002,2.000E-001,4.500E-009,0.000E+000,5.677E-003,0.000E+000,7.840E-001,0.000E+000,8.650E-001,0.000E+000,1.050E-008,5.800E-009,9.999E-009,4.000E-010,2.570E+000,3.800E-009,4.900E-009,
2343,1,2.240E-002,1.300E-006,7.000E-007,1.300E-006,2.577E+000,2.703E+000,2.578E+000,1.177E+002,1.176E+002,1.000E-001,5.000E-009,0.000E+000,5.648E-003,0.000E+000,7.850E-001,0.000E+000,8.640E-001,0.000E+000,9.300E-009,8.600E-009,9.999E-009,3.000E-010,2.578E+000,3.900E-009,5.200E-009,
2344,1,6.600E-003,1.100E-006,1.600E-006,1.000E-006,2.620E+000,2.749E+000,2.621E+000,1.155E+002,1.160E+002,5.000E-001,4.600E-009,0.000E+000,5.641E-003,0.000E+000,7.870E-001,0.000E+000,8.690E-001,0.000E+000,4.300E-009,8.100E-009,9.999E-009,2.000E-010,2.622E+000,4.000E-009,4.700E-009,
2345,1,6.300E-003,1.000E-006,1.100E-006,1.000E-006,2.565E+000,2.691E+000,2.565E+000,1.182E+002,1.181E+002,1.000E-001,4.700E-009,0.000E+000,5.706E-003,0.000E+000,7.840E-001,0.000E+000,8.640E-001,0.000E+000,1.130E-008,6.200E-009,9.999E-009,4.000E-010,2.566E+000,3.900E-009,5.300E-009,
2346,1,5.700E-003,1.400E-006,1.000E-006,1.000E-006,2.571E+000,2.698E+000,2.572E+000,1.183E+002,1.184E+002,1.000E-001,4.500E-009,0.000E+000,5.752E-003,0.000E+000,7.860E-001,0.000E+000,8.680E-001,0.000E+000,7.900E-009,9.400E-009,9.999E-009,0.000E+000,2.573E+000,4.200E-009,5.000E-009,
2347,1,2.520E-002,5.000E-007,1.000E-006,7.000E-007,2.590E+000,2.717E+000,2.591E+000,1.180E+002,1.181E+002,1.000E-001,4.500E-009,0.000E+000,5.693E-003,0.000E+000,7.870E-001,0.000E+000,8.680E-001,0.000E+000,5.300E-009,6.600E-009,9.999E-009,4.000E-010,2.591E+000,3.800E-009,5.200E-009,
2348,1,7.190E-002,1.400E-006,1.000E-006,1.000E-006,2.564E+000,2.690E+000,2.564E+000,1.180E+002,1.183E+002,3.000E-001,4.700E-009,0.000E+000,5.737E-003,0.000E+000,7.860E-001,0.000E+000,8.690E-001,0.000E+000,7.700E-009,9.800E-009,9.999E-009,0.000E+000,2.565E+000,4.200E-009,5.000E-009,
2349,1,5.900E-003,1.100E-006,8.000E-007,1.300E-006,2.570E+000,2.696E+000,2.570E+000,1.183E+002,1.184E+002,1.000E-001,4.600E-009,0.000E+000,5.764E-003,0.000E+000,7.870E-001,0.000E+000,8.690E-001,0.000E+000,8.500E-009,6.900E-009,9.999E-009,4.000E-010,2.571E+000,3.600E-009,4.700E-009,
2350,1,4.300E-003,1.000E-006,1.000E-006,9.000E-007,2.665E+000,2.792E+000,2.665E+000,1.159E+002,1.160E+002,1.000E-001,4.900E-009,0.000E+000,5.566E-003,0.000E+000,7.830E-001,0.000E+000,8.600E-001,0.000E+000,4.800E-009,9.300E-009,9.999E-009,3.000E-010,2.667E+000,3.900E-009,5.100E-009,
2351,1,5.400E-003,8.000E-007,5.000E-007,9.000E-007,2.672E+000,2.800E+000,2.672E+000,1.162E+002,1.162E+002,0.000E+000,4.400E-009,0.000E+000,5.617E-003,0.000E+000,7.860E-001,0.000E+000,8.620E-001,0.000E+000,4.500E-009,7.300E-009,9.999E-009,3.000E-010,2.674E+000,3.800E-009,4.900E-009,
2352,1,5.700E-003,1.100E-006,1.000E-007,9.000E-007,2.643E+000,2.770E+000,2.644E+000,1.163E+002,1.163E+002,0.000E+000,4.600E-009,0.000E+000,5.578E-003,0.000E+000,7.840E-001,0.000E+000,8.620E-001,0.000E+000,6.800E-009,7.500E-009,9.999E-009,0.000E+000,2.644E+000,3.900E-009,5.300E-009,
2353,1,6.300E-003,7.000E-007,1.000E-006,1.000E-006,2.657E+000,2.784E+000,2.656E+000,1.160E+002,1.160E+002,0.000E+000,4.700E-009,0.000E+000,5.561E-003,0.000E+000,7.850E-001,0.000E+000,8.600E-001,0.000E+000,5.100E-009,9.700E-009,9.999E-009,0.000E+000,2.657E+000,3.900E-009,4.600E-009,
2354,1,4.800E-003,1.200E-006,1.000E-006,1.000E-006,2.648E+000,2.776E+000,2.649E+000,1.162E+002,1.163E+002,1.000E-001,4.800E-009,0.000E+000,5.577E-003,0.000E+000,7.840E-001,0.000E+000,8.620E-001,0.000E+000,6.400E-009,7.100E-009,9.999E-009,4.000E-010,2.650E+000,3.700E-009,5.100E-009,
2355,1,4.800E-003,1.100E-006,9.000E-007,1.000E-006,2.607E+000,2.733E+000,2.607E+000,1.169E+002,1.170E+002,1.000E-001,4.700E-009,0.000E+000,5.552E-003,0.000E+000,7.840E-001,0.000E+000,8.620E-001,0.000E+000,1.130E-008,8.700E-009,9.999E-009,0.000E+000,2.608E+000,4.200E-009,5.000E-009,
2356,1,4.100E-003,7.000E-007,1.100E-006,1.000E-006,2.679E+000,2.808E+000,2.679E+000,1.164E+002,1.164E+002,0.000E+000,4.500E-009,0.000E+000,5.676E-003,0.000E+000,7.850E-001,0.000E+000,8.630E-001,0.000E+000,4.200E-009,6.500E-009,9.999E-009,4.000E-010,2.680E+000,3.800E-009,5.100E-009,
2357,1,7.500E-003,1.100E-006,1.000E-006,7.000E-007,2.667E+000,2.795E+000,2.667E+000,1.160E+002,1.161E+002,1.000E-001,4.900E-009,0.000E+000,5.620E-003,0.000E+000,7.840E-001,0.000E+000,8.630E-001,0.000E+000,4.600E-009,1.000E-008,9.999E-009,0.000E+000,2.669E+000,4.200E-009,4.700E-009,
2358,1,3.900E-003,7.000E-007,8.000E-007,9.000E-007,2.666E+000,2.794E+000,2.667E+000,1.165E+002,1.165E+002,0.000E+000,4.400E-009,0.000E+000,5.658E-003,0.000E+000,7.840E-001,0.000E+000,8.630E-001,0.000E+000,4.000E-009,6.400E-009,9.999E-009,6.000E-010,2.667E+000,3.700E-009,5.000E-009,
2359,1,6.200E-003,9.000E-007,7.000E-007,8.000E-007,2.672E+000,2.802E+000,2.673E+000,1.167E+002,1.167E+002,0.000E+000,4.700E-009,0.000E+000,5.716E-003,0.000E+000,7.840E-001,0.000E+000,8.630E-001,0.000E+000,4.600E-009,8.400E-009,9.999E-009,1.000E-010,2.674E+000,4.000E-009,5.100E-009,
2360,1,4.800E-003,1.000E-006,8.000E-007,1.000E-006,2.665E+000,2.793E+000,2.665E+000,1.180E+002,1.181E+002,1.000E-001,4.400E-009,0.000E+000,5.766E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,4.600E-009,6.800E-009,9.999E-009,3.000E-010,2.666E+000,3.700E-009,4.600E-009,
2361,1,1.190E-002,9.000E-007,5.000E-007,8.000E-007,2.670E+000,2.797E+000,2.670E+000,1.174E+002,1.175E+002,1.000E-001,4.900E-009,0.000E+000,5.670E-003,0.000E+000,7.840E-001,0.000E+000,8.620E-001,0.000E+000,5.000E-009,7.900E-009,9.999E-009,1.000E-010,2.670E+000,4.100E-009,5.100E-009,
2362,1,9.300E-003,8.000E-007,0.000E+000,9.000E-007,2.681E+000,2.810E+000,2.681E+000,1.196E+002,1.189E+002,7.000E-001,4.300E-009,0.000E+000,5.857E-003,0.000E+000,7.860E-001,0.000E+000,8.680E-001,0.000E+000,4.200E-009,8.400E-009,9.999E-009,3.000E-010,2.682E+000,3.900E-009,4.700E-009,
2363,1,6.600E-003,1.100E-006,1.400E-006,9.000E-007,2.688E+000,2.816E+000,2.687E+000,1.185E+002,1.185E+002,0.000E+000,4.700E-009,0.000E+000,5.717E-003,0.000E+000,7.900E-001,0.000E+000,8.670E-001,0.000E+000,4.700E-009,8.600E-009,9.999E-009,0.000E+000,2.688E+000,4.300E-009,5.000E-009,
2364,1,9.600E-003,5.000E-007,7.000E-007,7.000E-007,2.692E+000,2.818E+000,2.692E+000,1.188E+002,1.188E+002,0.000E+000,4.500E-009,0.000E+000,5.736E-003,0.000E+000,7.900E-001,0.000E+000,8.690E-001,0.000E+000,4.000E-009,6.200E-009,9.999E-009,6.000E-010,2.691E+000,3.500E-009,4.800E-009,
2365,1,4.300E-003,9.000E-007,1.200E-006,1.000E-006,2.693E+000,2.823E+000,2.693E+000,1.194E+002,1.195E+002,1.000E-001,4.700E-009,0.000E+000,5.832E-003,0.000E+000,7.890E-001,0.000E+000,8.720E-001,0.000E+000,4.500E-009,9.000E-009,9.999E-009,0.000E+000,2.694E+000,4.200E-009,4.900E-009,
2366,1,4.100E-003,1.000E-006,7.000E-007,9.000E-007,2.661E+000,2.790E+000,2.662E+000,1.176E+002,1.177E+002,1.000E-001,4.400E-009,0.000E+000,5.773E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,4.900E-009,6.000E-009,9.999E-009,5.000E-010,2.662E+000,3.600E-009,4.900E-009,
2367,1,4.700E-003,1.000E-006,7.000E-007,1.000E-006,2.671E+000,2.799E+000,2.672E+000,1.163E+002,1.164E+002,1.000E-001,4.500E-009,0.000E+000,5.628E-003,0.000E+000,7.840E-001,0.000E+000,8.640E-001,0.000E+000,5.500E-009,6.700E-009,9.999E-009,5.000E-010,2.673E+000,3.800E-009,4.900E-009,
2368,1,4.600E-003,9.000E-007,7.000E-007,7.000E-007,2.674E+000,2.803E+000,2.675E+000,1.174E+002,1.174E+002,0.000E+000,4.800E-009,0.000E+000,5.788E-003,0.000E+000,7.860E-001,0.000E+000,8.650E-001,0.000E+000,4.800E-009,9.400E-009,9.999E-009,0.000E+000,2.675E+000,4.000E-009,5.000E-009,
2369,1,7.400E-003,8.000E-007,6.000E-007,1.000E-006,2.666E+000,2.794E+000,2.667E+000,1.162E+002,1.163E+002,1.000E-001,4.500E-009,0.000E+000,5.684E-003,0.000E+000,7.850E-001,0.000E+000,8.640E-001,0.000E+000,6.100E-009,5.900E-009,9.999E-009,4.000E-010,2.667E+000,3.900E-009,5.200E-009,
2370,1,5.000E-003,1.200E-006,1.000E-006,1.000E-006,2.674E+000,2.803E+000,2.674E+000,1.163E+002,1.164E+002,1.000E-001,4.800E-009,1.000E-006,5.636E-003,0.000E+000,7.850E-001,0.000E+000,8.620E-001,0.000E+000,5.700E-009,9.600E-009,9.999E-009,0.000E+000,2.675E+000,4.000E-009,4.900E-009,
2371,1,9.100E-003,1.000E-006,1.200E-006,1.000E-006,2.630E+000,2.758E+000,2.630E+000,1.168E+002,1.169E+002,1.000E-001,4.400E-009,0.000E+000,5.672E-003,0.000E+000,7.850E-001,0.000E+000,8.640E-001,0.000E+000,1.080E-008,6.100E-009,9.999E-009,4.000E-010,2.631E+000,3.600E-009,5.100E-009,
2372,1,9.700E-003,4.000E-007,9.000E-007,1.000E-006,2.650E+000,2.778E+000,2.650E+000,1.168E+002,1.167E+002,1.000E-001,4.800E-009,0.000E+000,5.689E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,9.000E-009,1.080E-008,9.999E-009,0.000E+000,2.651E+000,3.900E-009,5.000E-009,
2373,1,5.300E-003,8.000E-007,1.000E-006,8.000E-007,2.584E+000,2.711E+000,2.585E+000,1.177E+002,1.179E+002,2.000E-001,4.600E-009,0.000E+000,5.736E-003,0.000E+000,7.860E-001,0.000E+000,8.650E-001,0.000E+000,1.230E-008,6.100E-009,9.999E-009,4.000E-010,2.585E+000,3.900E-009,5.100E-009,
2374,1,5.400E-003,1.300E-006,8.000E-007,1.000E-006,2.603E+000,2.730E+000,2.603E+000,1.174E+002,1.174E+002,0.000E+000,5.100E-009,0.000E+000,5.713E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,1.410E-008,8.900E-009,9.999E-009,0.000E+000,2.604E+000,4.100E-009,4.800E-009,
2375,1,6.800E-003,9.000E-007,1.100E-006,8.000E-007,2.600E+000,2.726E+000,2.600E+000,1.184E+002,1.184E+002,0.000E+000,4.500E-009,0.000E+000,5.806E-003,0.000E+000,7.870E-001,0.000E+000,8.670E-001,0.000E+000,4.700E-009,6.200E-009,9.999E-009,5.000E-010,2.601E+000,3.800E-009,5.100E-009,
2376,1,6.400E-003,9.000E-007,1.100E-006,1.000E-006,2.583E+000,2.709E+000,2.583E+000,1.182E+002,1.184E+002,2.000E-001,4.900E-009,0.000E+000,5.777E-003,0.000E+000,7.860E-001,0.000E+000,8.660E-001,0.000E+000,7.200E-009,9.300E-009,9.999E-009,0.000E+000,2.584E+000,4.200E-009,4.900E-009,
2377,1,7.100E-003,9.000E-007,9.000E-007,7.000E-007,2.680E+000,2.809E+000,2.680E+000,1.176E+002,1.177E+002,1.000E-001,4.500E-009,0.000E+000,5.742E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,4.300E-009,6.600E-009,9.999E-009,7.000E-010,2.681E+000,3.600E-009,5.000E-009,
2378,1,7.900E-003,1.000E-006,9.000E-007,1.000E-006,2.586E+000,2.712E+000,2.586E+000,1.177E+002,1.181E+002,4.000E-001,4.800E-009,0.000E+000,5.738E-003,0.000E+000,7.860E-001,0.000E+000,8.660E-001,0.000E+000,1.050E-008,9.700E-009,9.999E-009,0.000E+000,2.586E+000,4.300E-009,5.000E-009,
2379,1,5.600E-003,9.000E-007,1.000E-006,7.000E-007,2.669E+000,2.799E+000,2.670E+000,1.165E+002,1.166E+002,1.000E-001,4.300E-009,1.000E-006,5.653E-003,0.000E+000,7.850E-001,0.000E+000,8.640E-001,0.000E+000,4.600E-009,6.700E-009,9.999E-009,5.000E-010,2.671E+000,3.600E-009,4.800E-009,
2380,1,8.200E-003,8.000E-007,9.000E-007,1.000E-006,2.663E+000,2.792E+000,2.664E+000,1.172E+002,1.172E+002,0.000E+000,4.700E-009,0.000E+000,5.660E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,5.000E-009,9.700E-009,9.999E-009,0.000E+000,2.665E+000,4.200E-009,5.000E-009,
2381,1,1.260E-002,1.000E-006,1.000E-007,1.000E-006,2.667E+000,2.795E+000,2.667E+000,1.159E+002,1.161E+002,2.000E-001,4.600E-009,0.000E+000,5.628E-003,0.000E+000,7.860E-001,0.000E+000,8.650E-001,0.000E+000,4.900E-009,7.200E-009,9.999E-009,3.000E-010,2.668E+000,3.700E-009,4.800E-009,
2382,1,6.900E-003,9.000E-007,1.200E-006,1.000E-006,2.668E+000,2.797E+000,2.668E+000,1.162E+002,1.163E+002,1.000E-001,4.800E-009,0.000E+000,5.617E-003,0.000E+000,7.860E-001,0.000E+000,8.630E-001,0.000E+000,5.400E-009,9.100E-009,9.999E-009,1.000E-010,2.669E+000,4.200E-009,5.100E-009,
2383,1,5.900E-003,1.200E-006,2.000E-007,9.000E-007,2.665E+000,2.792E+000,2.665E+000,1.158E+002,1.157E+002,1.000E-001,4.300E-009,0.000E+000,5.621E-003,0.000E+000,7.870E-001,0.000E+000,8.660E-001,0.000E+000,5.000E-009,7.100E-009,9.999E-009,4.000E-010,2.667E+000,3.800E-009,4.700E-009,
2384,1,5.300E-003,8.000E-007,1.200E-006,1.000E-006,2.666E+000,2.794E+000,2.667E+000,1.157E+002,1.159E+002,2.000E-001,5.000E-009,0.000E+000,5.626E-003,0.000E+000,7.860E-001,0.000E+000,8.650E-001,0.000E+000,5.300E-009,7.800E-009,9.999E-009,3.000E-010,2.667E+000,4.000E-009,5.000E-009,
2385,1,6.100E-003,8.000E-007,1.200E-006,9.000E-007,2.650E+000,2.778E+000,2.649E+000,1.159E+002,1.160E+002,1.000E-001,4.300E-009,0.000E+000,5.576E-003,0.000E+000,7.870E-001,0.000E+000,8.670E-001,0.000E+000,6.400E-009,7.800E-009,9.999E-009,3.000E-010,2.650E+000,3.900E-009,4.700E-009,
2386,1,4.400E-003,7.000E-007,6.000E-007,1.000E-006,2.659E+000,2.786E+000,2.659E+000,1.159E+002,1.159E+002,0.000E+000,4.800E-009,0.000E+000,5.638E-003,0.000E+000,7.860E-001,0.000E+000,8.650E-001,0.000E+000,5.800E-009,6.800E-009,9.999E-009,1.000E-010,2.659E+000,3.700E-009,5.100E-009,
2387,1,3.600E-003,1.100E-006,1.000E-006,1.000E-006,2.619E+000,2.748E+000,2.620E+000,1.174E+002,1.174E+002,0.000E+000,4.800E-009,0.000E+000,5.614E-003,0.000E+000,7.870E-001,0.000E+000,8.660E-001,0.000E+000,1.060E-008,8.600E-009,9.999E-009,1.000E-010,2.621E+000,3.900E-009,4.600E-009,
2388,1,7.300E-003,1.200E-006,1.200E-006,8.000E-007,2.634E+000,2.762E+000,2.634E+000,1.162E+002,1.163E+002,1.000E-001,4.700E-009,0.000E+000,5.630E-003,0.000E+000,7.860E-001,0.000E+000,8.660E-001,0.000E+000,8.400E-009,6.400E-009,9.999E-009,2.000E-010,2.636E+000,4.000E-009,5.100E-009,
2389,1,4.400E-003,1.200E-006,7.000E-007,9.000E-007,2.613E+000,2.741E+000,2.613E+000,1.170E+002,1.171E+002,1.000E-001,4.500E-009,0.000E+000,5.602E-003,0.000E+000,7.860E-001,0.000E+000,8.630E-001,0.000E+000,1.170E-008,8.400E-009,9.999E-009,1.000E-010,2.615E+000,4.200E-009,4.900E-009,
2390,1,4.900E-003,3.000E-007,9.000E-007,1.000E-006,2.641E+000,2.771E+000,2.643E+000,1.168E+002,1.170E+002,2.000E-001,4.200E-009,0.000E+000,5.584E-003,0.000E+000,7.870E-001,0.000E+000,8.660E-001,0.000E+000,5.000E-009,6.200E-009,9.999E-009,5.000E-010,2.644E+000,3.700E-009,5.100E-009,
2391,1,5.900E-003,1.600E-006,9.000E-007,1.000E-006,2.654E+000,2.782E+000,2.654E+000,1.164E+002,1.165E+002,1.000E-001,4.800E-009,0.000E+000,5.645E-003,0.000E+000,7.870E-001,0.000E+000,8.650E-001,0.000E+000,6.200E-009,9.800E-009,9.999E-009,0.000E+000,2.655E+000,4.100E-009,4.800E-009,
2392,1,4.500E-003,1.100E-006,7.000E-007,1.100E-006,2.633E+000,2.760E+000,2.633E+000,1.167E+002,1.168E+002,1.000E-001,4.400E-009,0.000E+000,5.610E-003,0.000E+000,7.860E-001,0.000E+000,8.650E-001,0.000E+000,8.800E-009,5.700E-009,9.999E-009,5.000E-010,2.633E+000,3.700E-009,4.800E-009,
2393,1,8.400E-003,9.000E-007,9.000E-007,1.100E-006,2.670E+000,2.798E+000,2.670E+000,1.163E+002,1.163E+002,0.000E+000,4.800E-009,0.000E+000,5.597E-003,0.000E+000,7.860E-001,0.000E+000,8.660E-001,0.000E+000,4.700E-009,8.300E-009,9.999E-009,2.000E-010,2.670E+000,3.900E-009,5.100E-009,
2394,1,8.500E-003,8.000E-007,1.000E-006,8.000E-007,2.662E+000,2.790E+000,2.662E+000,1.163E+002,1.163E+002,0.000E+000,4.400E-009,0.000E+000,5.622E-003,0.000E+000,7.870E-001,0.000E+000,8.660E-001,0.000E+000,5.000E-009,7.900E-009,9.999E-009,2.000E-010,2.663E+000,3.900E-009,4.700E-009,
2395,1,7.800E-003,6.000E-007,1.100E-006,8.000E-007,2.663E+000,2.791E+000,2.663E+000,1.177E+002,1.179E+002,2.000E-001,4.800E-009,0.000E+000,5.722E-003,0.000E+000,7.860E-001,0.000E+000,8.660E-001,0.000E+000,4.300E-009,7.100E-009,9.999E-009,3.000E-010,2.663E+000,3.900E-009,5.400E-009,
2396,1,1.390E-002,1.000E-006,8.000E-007,1.200E-006,2.672E+000,2.799E+000,2.672E+000,1.164E+002,1.165E+002,1.000E-001,4.500E-009,0.000E+000,5.672E-003,0.000E+000,7.860E-001,0.000E+000,8.650E-001,0.000E+000,4.400E-009,8.100E-009,9.999E-009,0.000E+000,2.672E+000,4.000E-009,4.800E-009,
2397,1,9.700E-003,1.700E-006,9.000E-007,1.500E-006,2.646E+000,2.775E+000,2.647E+000,1.173E+002,1.174E+002,1.000E-001,4.700E-009,0.000E+000,5.657E-003,0.000E+000,7.840E-001,0.000E+000,8.620E-001,0.000E+000,4.200E-009,6.800E-009,9.999E-009,3.000E-010,2.647E+000,3.900E-009,4.800E-009,
2398,1,7.700E-003,1.300E-006,9.000E-007,7.000E-007,2.654E+000,2.783E+000,2.654E+000,1.175E+002,1.176E+002,1.000E-001,4.900E-009,0.000E+000,5.693E-003,0.000E+000,7.860E-001,0.000E+000,8.680E-001,0.000E+000,4.600E-009,9.100E-009,9.999E-009,0.000E+000,2.655E+000,4.100E-009,4.700E-009,
2399,1,6.100E-003,1.100E-006,6.000E-007,1.000E-006,2.626E+000,2.754E+000,2.626E+000,1.174E+002,1.175E+002,1.000E-001,4.500E-009,0.000E+000,5.636E-003,0.000E+000,7.850E-001,0.000E+000,8.640E-001,0.000E+000,4.800E-009,7.600E-009,9.999E-009,4.000E-010,2.627E+000,3.800E-009,4.900E-009,
2400,1,9.700E-003,1.000E-006,4.000E-007,9.000E-007,2.639E+000,2.768E+000,2.639E+000,1.174E+002,1.174E+002,0.000E+000,5.200E-009,0.000E+000,5.688E-003,0.000E+000,7.860E-001,0.000E+000,8.560E-001,0.000E+000,4.600E-009,7.700E-009,9.999E-009,4.000E-010,2.640E+000,3.900E-009,5.200E-009,
2401,1,8.300E-003,1.200E-006,7.000E-007,1.000E-006,2.616E+000,2.744E+000,2.616E+000,1.174E+002,1.174E+002,0.000E+000,4.700E-009,0.000E+000,5.602E-003,0.000E+000,7.870E-001,0.000E+000,8.670E-001,0.000E+000,5.700E-009,9.100E-009,9.999E-009,3.000E-010,2.617E+000,3.900E-009,4.700E-009,
2402,1,5.700E-003,8.000E-007,8.000E-007,8.000E-007,2.618E+000,2.745E+000,2.618E+000,1.174E+002,1.173E+002,1.000E-001,4.700E-009,0.000E+000,5.661E-003,0.000E+000,7.850E-001,0.000E+000,8.670E-001,0.000E+000,5.400E-009,7.800E-009,9.999E-009,4.000E-010,2.619E+000,3.600E-009,5.200E-009,
2403,1,1.110E-002,1.000E-006,9.000E-007,7.000E-007,2.622E+000,2.750E+000,2.621E+000,1.175E+002,1.177E+002,2.000E-001,4.600E-009,0.000E+000,5.734E-003,0.000E+000,7.860E-001,0.000E+000,8.670E-001,0.000E+000,5.000E-009,8.300E-009,9.999E-009,0.000E+000,2.623E+000,4.200E-009,5.000E-009,
2404,1,5.800E-003,1.600E-006,1.000E-006,9.000E-007,2.616E+000,2.744E+000,2.616E+000,1.175E+002,1.176E+002,1.000E-001,4.600E-009,0.000E+000,5.686E-003,0.000E+000,7.860E-001,0.000E+000,8.680E-001,0.000E+000,5.500E-009,7.100E-009,9.999E-009,4.000E-010,2.617E+000,3.900E-009,5.200E-009,
2405,1,4.900E-003,7.000E-007,1.200E-006,9.000E-007,2.674E+000,2.802E+000,2.674E+000,1.162E+002,1.163E+002,1.000E-001,4.900E-009,0.000E+000,5.606E-003,0.000E+000,7.840E-001,0.000E+000,8.610E-001,0.000E+000,5.900E-009,8.800E-009,9.999E-009,0.000E+000,2.674E+000,4.300E-009,5.100E-009,
2406,1,5.900E-003,1.100E-006,1.000E-006,1.000E-006,2.623E+000,2.751E+000,2.623E+000,1.177E+002,1.179E+002,2.000E-001,4.400E-009,0.000E+000,5.742E-003,0.000E+000,7.870E-001,0.000E+000,8.700E-001,0.000E+000,4.300E-009,7.000E-009,9.999E-009,1.000E-010,2.624E+000,3.900E-009,4.800E-009,
2407,1,5.900E-003,7.000E-007,1.400E-006,9.000E-007,2.678E+000,2.806E+000,2.678E+000,1.156E+002,1.158E+002,2.000E-001,4.700E-009,0.000E+000,5.546E-003,0.000E+000,7.830E-001,0.000E+000,8.620E-001,0.000E+000,5.400E-009,6.400E-009,9.999E-009,2.000E-010,2.678E+000,4.000E-009,5.200E-009,
2408,1,5.100E-003,9.000E-007,1.000E-006,9.000E-007,2.672E+000,2.800E+000,2.673E+000,1.157E+002,1.159E+002,2.000E-001,4.700E-009,0.000E+000,5.586E-003,0.000E+000,7.840E-001,0.000E+000,8.610E-001,0.000E+000,5.300E-009,9.300E-009,9.999E-009,0.000E+000,2.673E+000,4.000E-009,4.800E-009,
