SheetName,Structure,Origin,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Validation,XML File,Unnamed: 6,UVA,UVA.1,UVA.2,USR,Comments,File:,7G0FN07-92118-01_3_20190121_094231_1061C.stdf,Unnamed: 4,Unnamed: 5,Unnamed: 7,Unnamed: 8,20170927,PinId renamed to PinIndex,dataPOWER used,dataPOWER,FILE,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170114081437.stdf,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170125052513.stdf,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170128170445.stdf,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170206115713.stdf,AP0102_PC6S61_CP2_PC6S61-06G3_20170124154639.stdf,AP0202_P48P98_CP2_P48P98-20F6_20160310175436.stdf,P010A0TBAC-K1-SWF_PCBH24_PCBH24-01G6_20170121055708.stdf,ATH03_AP0202_CKF190004_619ON04E_20160518_12h49m04s_RS_1M.stdf.txt,1_AP0202_1_619ON04E_20160518_12h58m36s_FT_1.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_13h29m20s_FT_1A.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_14h11m29s_FT_1B.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_16h31m45s_RS_2A.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_16h49m41s_RS_3A.stdf.txt,AT10_AP0100A_MY5526709D_737ON40E_20171003_13h40m05s_FT_1A.stdf,STH01_AP0101A_CKG360022_736ON22E_20170922_22h40m55s_FT_1A.stdf,ATH03_AP0102_CKG350016_735ON11E_20170910_14h40m09s_RS_1M.stdf,ATH03_AP0202_CKG080039_708ON39E_20170402_03h12m01s_FT_1A.stdf,ATH10_AP0100A_MY5526709A_737ON37E_20171003_08h29m44s_RS_2A.stdf,STH01_AP0101A_CKG360022_736ON22E_20170922_13h49m55s_FT_1A.stdf,P010A0TBAC-K1-SWF_P4KA33_P4KA33-01F0_20160402053641.stdf,print TEST_TXTs PTR MPR FTR,awk -F': ' '/^PTR|^MPR|^FTR/ { PRINT=1; } /^$/ { PRINT=0; } /^   TEST_TXT:/ { if ( PRINT == 1 ) { print($0); } }',TestCount should be renamed to TestsExecuted
STDF Tran - DataElementMap,,,MIR,8,CMOD_COD,,,Lot,CommandMode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,9,LOT_ID,,CRITICAL,Lot,LotId,PPP092,P48P98,619ON04E,GAT42121.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,10,PART_TYP,,,Lot,PartType,AP0100B,AP0202,AP0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,11,NODE_NAM,,,Lot,NodeName,hp93k_78,hp93k_88,ath3,DX025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,12,TSTR_TYP,,,Lot,TesterType,93000-SOC,93000-SOC,93000-SOC,Credence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,13,JOB_NAM,,CRITICAL,Lot,JobName,AP0100B_506555_CREV_0202_85C_OTPM_write_Rev2,AP0202Rev2_WS_-40C_noOTPM_Rev0.8_KYEC.tp,AP0202Rev2_FT_25C_DCScale_Rev0.7.tp,./cima_G0B02XLd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,14,JOB_REV,,,Lot,JobRevision,AP0100B_506555_CREV_0202_85C_OTPM_write_Rev2,AP0202Rev2_WS_-40C_noOTPM_Rev0.8_KYEC.tp,0.7,Sun Jan 15 16:36:12 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,15,SBLOT_ID,,,Lot,SublotId,22,20,(null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,16,OPER_NAM,,,Lot,OperatorName,prod,prod,19564/D,scadmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,17,EXEC_TYP,,,Lot,ExecType,SmarTest,SmarTest,93000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,18,EXEC_VER,,,Lot,ExecVersion,"6.3.5, 22-Oct-09","s/w rev. 7.1.4.12 (E), 14-Jan-14","s/w rev. 7.1.4.3 (E), 15-Oct-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,19,TEST_COD,,,Lot,TestCode,FINAL,FINAL,PKGSORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,20,TST_TEMP,,,Lot,TestTemperature,85C,-40C,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,21,USER_TXT,,,Lot,UserText,,,CKF190004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,22,AUX_FILE,,,Lot,AUXFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,23,PKG_TYP,,,Lot,PackageType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,24,FAMLY_ID,,,Lot,FamilyId,AP0100,AP0200,AP0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,25,DATE_COD,,,Lot,DateCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,26,FACIL_ID,,,Lot,FacilityId,KYEC,TSMC,ASEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,27,FLOOR_ID,,,Lot,FloorId,LCP,LCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,28,PROC_ID,,,Lot,ProcessId,65nm,65nm,65nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,29,OPER_FRQ,,,Lot,OperationFrequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,30,SPEC_NAM,,,Lot,SpecName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,31,SPEC_VER,,,Lot,SpecVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,32,FLOW_ID,,,Lot,FlowId,UNITPROBE_CP1,UNITPROBE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
