2024-06-10 01:15:02 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:03 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:03 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:03 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:03 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:04 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:04 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:04 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:04 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:05 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:05 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:05 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:05 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:06 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:06 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:06 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:07 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:07 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:07 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:07 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:08 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:08 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:08 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:08 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:09 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:09 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:09 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:09 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:10 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:10 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:10 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:10 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:11 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:11 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:11 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:11 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:12 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:12 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:12 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:13 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:13 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:13 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:13 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:14 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:14 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:14 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:14 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:15 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:15 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:15 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:15 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:16 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
