2024-06-10 01:01:19 [INFO] ########### Start #########
2024-06-10 01:06:53 [INFO] ########### Start #########
2024-06-10 01:11:23 [INFO] ########### Start #########
2024-06-10 01:11:50 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:50 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:50 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:50 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:51 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:51 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:51 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:51 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:52 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:52 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:52 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:52 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:53 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:53 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:53 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:53 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:54 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:54 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:54 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:54 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:55 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:55 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:55 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:56 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:56 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:56 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:56 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:57 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:57 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:57 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:57 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:58 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:58 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:58 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:58 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
